id,i_dialog,i_utterance,speaker,utterance
0,0,0,Phoebe,"Alright, whadyou do with him?"
1,0,1,Monica,Oh! You're awake!
2,0,2,Joey,Then you gotta come clean with Ma! This is not right!
3,0,3,Mr. Tribbiani,"Yeah, but this is"
4,0,4,Joey,I don't wanna hear it! Now go to my room!
5,1,0,Chandler,I don?t want him to tell this story for years.
6,1,1,Ross,"Oh, but he will. He still tells the story how Monica tried to escape from fat camp."
7,1,2,Monica,I wasn?t escaping.
8,1,3,Ross,Then how did you get caught in the barbed wire?
9,1,4,Monica,I was trying to help out a squirrel.
10,1,5,Ross,You were trying to eat it!
11,1,6,Chandler,If
12,1,7,Monica,"Come on.  Hello?  I?m sorry you have the wrong number.   Okay, I?ll call you later dad. I love you."
13,2,0,Julie,"I was thinking of doing it a little shorter, you know, like Andie McDowell's new haircut?"
14,2,1,Phoebe,"Oh yeah!? Oh, I can do that."
15,2,2,Julie,Really?
16,2,3,Hombre Man,"I'm sorry. I am such a doofus. I'm so sorry, I'm so sorry."
17,2,4,Annabelle,"My god, what happened?"
18,2,5,Joey,"These new kids, they never last."
19,2,6,Joey,"Sooner or later, they all...stop lastin'."
20,2,7,Joey,"Listen, uh, what do you say I buy you that cup of coffee now?"
21,2,8,Annabelle,Sure.
22,3,0,Monica,"Oh my God Phoebe, you?re on fire!"
23,3,1,Phoebe,I know!
24,3,2,Chandler,One more score to go! You can do it!
25,3,3,Phoebe,Don?t touch me!!
26,3,4,Monica,Don?t touch her!!
27,3,5,Chandler,All right! Go left! Go left! Go right!! Go right!!
28,3,6,Phoebe,I can?t!! I can?t!!  Noooooooo!!!!!!! You son of a bitch!!!!!
29,3,7,Ross,Phoebe!!
30,3,8,Phoebe,Oh hi Ben?No!! Don?t look at the machine!
31,4,0,Monica,Feeling a little better sweetie?
32,4,1,Joey,"Well, maybe a little. I wish you hadn't seen me throw up."
33,4,2,Monica,Me too.
34,4,3,Ross,Hey! I just heard. What's up?
35,4,4,Joey's Doctor,Kidney stones!
36,4,5,Joey's Doctor,"Now, ordinarily Mr. Tribbiani, we try to break up the stones up with shock waves, but they're to close to the bladder now."
37,4,6,Joey's Doctor,Which means we can either wait for you to pass them or else go up the urethra
38,4,7,Joey,"Whoa-whoa! No-no-no-no-no, nothing is going up! Okay? Up, up is not an option?what's a urethra?  Are you crazy?!"
39,5,0,Chandler,"So what do you say, maybe sometime I hold your gun?"
40,5,1,Rachel,Yeah.
41,5,2,Ross,Good-good-good.
42,5,3,Rachel,Oh-oh!
43,5,4,Ross,"Yeah, you got it right? You got it right? You got it?"
44,5,5,Rachel,Any chance you think the couch looks good there?
45,6,0,Rachel,What?
46,6,1,Joey,"Beth is really, really sick."
47,6,2,Rachel,Awwww.
48,6,3,Joey,"Jo?s there, but I don?t think there?s anything she could do."
49,6,4,Rachel,Joey?
50,6,5,Joey,Yeah.
51,6,6,Rachel,Do you want to put the book in the freezer?
52,6,7,Joey,Okay.
53,6,8,Rachel,Okay.
54,7,0,Monica,You okay?
55,7,1,Rachel,Yeah.
56,7,2,Monica,Really?
57,7,3,Rachel,Yeah!
58,7,4,Rachel,"Y'know, ever since I ran out on Barry at the wedding, I have wondered whether I made the right choice."
59,7,5,Rachel,And now I know.
60,7,6,Monica,Aww...
61,7,7,Joey,Big day.
62,8,0,Monica,"Hello? No rejection? I got shot down at fat camp! Boy, kids are mean when they?re hungry."
63,8,1,Joey,"All right so, so what do I do?"
64,8,2,Monica,This is Rachel.
65,8,3,Monica,"I mean, what are you gonna do, never going to talk to her again?"
